permalink,api,api_key,url
"permalink : ""https://moto.data.socrata.com/d/p6kq-vsa3"",","p6kq-vsa3"",",p6kq-vsa3,https://moto.data.socrata.com/resources/p6kq-vsa3.csv
"permalink : ""https://moto.data.socrata.com/d/jrat-ef37"",","jrat-ef37"",",jrat-ef37,https://moto.data.socrata.com/resources/jrat-ef37.csv
"permalink : ""https://moto.data.socrata.com/d/wrmr-tdyp"",","wrmr-tdyp"",",wrmr-tdyp,https://moto.data.socrata.com/resources/wrmr-tdyp.csv
"permalink : ""https://moto.data.socrata.com/d/4h35-4mtu"",","4h35-4mtu"",",4h35-4mtu,https://moto.data.socrata.com/resources/4h35-4mtu.csv
"permalink : ""https://moto.data.socrata.com/d/n27x-skjv"",","n27x-skjv"",",n27x-skjv,https://moto.data.socrata.com/resources/n27x-skjv.csv
"permalink : ""https://moto.data.socrata.com/d/v4tj-cyi9"",","v4tj-cyi9"",",v4tj-cyi9,https://moto.data.socrata.com/resources/v4tj-cyi9.csv
"permalink : ""https://moto.data.socrata.com/d/qfdb-58dd"",","qfdb-58dd"",",qfdb-58dd,https://moto.data.socrata.com/resources/qfdb-58dd.csv
"permalink : ""https://moto.data.socrata.com/d/5c4j-6cka"",","5c4j-6cka"",",5c4j-6cka,https://moto.data.socrata.com/resources/5c4j-6cka.csv
"permalink : ""https://moto.data.socrata.com/d/nnzs-rxi5"",","nnzs-rxi5"",",nnzs-rxi5,https://moto.data.socrata.com/resources/nnzs-rxi5.csv
"permalink : ""https://moto.data.socrata.com/d/6h36-wpzf"",","6h36-wpzf"",",6h36-wpzf,https://moto.data.socrata.com/resources/6h36-wpzf.csv
"permalink : ""https://moto.data.socrata.com/d/9tv5-g2uz"",","9tv5-g2uz"",",9tv5-g2uz,https://moto.data.socrata.com/resources/9tv5-g2uz.csv
"permalink : ""https://moto.data.socrata.com/d/ybye-xjrr"",","ybye-xjrr"",",ybye-xjrr,https://moto.data.socrata.com/resources/ybye-xjrr.csv
"permalink : ""https://moto.data.socrata.com/d/vsr6-kf7i"",","vsr6-kf7i"",",vsr6-kf7i,https://moto.data.socrata.com/resources/vsr6-kf7i.csv
"permalink : ""https://moto.data.socrata.com/d/mkgr-xxwn"",","mkgr-xxwn"",",mkgr-xxwn,https://moto.data.socrata.com/resources/mkgr-xxwn.csv
"permalink : ""https://moto.data.socrata.com/d/kk9h-r9zr"",","kk9h-r9zr"",",kk9h-r9zr,https://moto.data.socrata.com/resources/kk9h-r9zr.csv
"permalink : ""https://moto.data.socrata.com/d/wirm-wbhy"",","wirm-wbhy"",",wirm-wbhy,https://moto.data.socrata.com/resources/wirm-wbhy.csv
"permalink : ""https://moto.data.socrata.com/d/rxhj-zewn"",","rxhj-zewn"",",rxhj-zewn,https://moto.data.socrata.com/resources/rxhj-zewn.csv
"permalink : ""https://moto.data.socrata.com/d/2dfc-gktv"",","2dfc-gktv"",",2dfc-gktv,https://moto.data.socrata.com/resources/2dfc-gktv.csv
"permalink : ""https://moto.data.socrata.com/d/qc87-2rvn"",","qc87-2rvn"",",qc87-2rvn,https://moto.data.socrata.com/resources/qc87-2rvn.csv
"permalink : ""https://moto.data.socrata.com/d/j4xx-q7jw"",","j4xx-q7jw"",",j4xx-q7jw,https://moto.data.socrata.com/resources/j4xx-q7jw.csv
"permalink : ""https://moto.data.socrata.com/d/2dg7-6s4z"",","2dg7-6s4z"",",2dg7-6s4z,https://moto.data.socrata.com/resources/2dg7-6s4z.csv
"permalink : ""https://moto.data.socrata.com/d/38iu-bd67"",","38iu-bd67"",",38iu-bd67,https://moto.data.socrata.com/resources/38iu-bd67.csv
"permalink : ""https://moto.data.socrata.com/d/gnnd-dfiz"",","gnnd-dfiz"",",gnnd-dfiz,https://moto.data.socrata.com/resources/gnnd-dfiz.csv
"permalink : ""https://moto.data.socrata.com/d/vafb-s5i2"",","vafb-s5i2"",",vafb-s5i2,https://moto.data.socrata.com/resources/vafb-s5i2.csv
"permalink : ""https://moto.data.socrata.com/d/ei6h-y7dq"",","ei6h-y7dq"",",ei6h-y7dq,https://moto.data.socrata.com/resources/ei6h-y7dq.csv
"permalink : ""https://moto.data.socrata.com/d/9wfx-9qes"",","9wfx-9qes"",",9wfx-9qes,https://moto.data.socrata.com/resources/9wfx-9qes.csv
"permalink : ""https://moto.data.socrata.com/d/5yhv-cgu7"",","5yhv-cgu7"",",5yhv-cgu7,https://moto.data.socrata.com/resources/5yhv-cgu7.csv
"permalink : ""https://moto.data.socrata.com/d/w67x-hhdz"",","w67x-hhdz"",",w67x-hhdz,https://moto.data.socrata.com/resources/w67x-hhdz.csv
"permalink : ""https://moto.data.socrata.com/d/k9v8-vh8y"",","k9v8-vh8y"",",k9v8-vh8y,https://moto.data.socrata.com/resources/k9v8-vh8y.csv
"permalink : ""https://moto.data.socrata.com/d/p4kf-33nm"",","p4kf-33nm"",",p4kf-33nm,https://moto.data.socrata.com/resources/p4kf-33nm.csv
"permalink : ""https://moto.data.socrata.com/d/r9qj-rrdq"",","r9qj-rrdq"",",r9qj-rrdq,https://moto.data.socrata.com/resources/r9qj-rrdq.csv
"permalink : ""https://moto.data.socrata.com/d/gqz3-7kh6"",","gqz3-7kh6"",",gqz3-7kh6,https://moto.data.socrata.com/resources/gqz3-7kh6.csv
"permalink : ""https://moto.data.socrata.com/d/xny3-tbqi"",","xny3-tbqi"",",xny3-tbqi,https://moto.data.socrata.com/resources/xny3-tbqi.csv
"permalink : ""https://moto.data.socrata.com/d/if6r-65cf"",","if6r-65cf"",",if6r-65cf,https://moto.data.socrata.com/resources/if6r-65cf.csv
"permalink : ""https://moto.data.socrata.com/d/9daj-ackw"",","9daj-ackw"",",9daj-ackw,https://moto.data.socrata.com/resources/9daj-ackw.csv
"permalink : ""https://moto.data.socrata.com/d/ura6-jy6v"",","ura6-jy6v"",",ura6-jy6v,https://moto.data.socrata.com/resources/ura6-jy6v.csv
"permalink : ""https://moto.data.socrata.com/d/c943-w8up"",","c943-w8up"",",c943-w8up,https://moto.data.socrata.com/resources/c943-w8up.csv
"permalink : ""https://moto.data.socrata.com/d/n3wc-t646"",","n3wc-t646"",",n3wc-t646,https://moto.data.socrata.com/resources/n3wc-t646.csv
"permalink : ""https://moto.data.socrata.com/d/turg-k5ub"",","turg-k5ub"",",turg-k5ub,https://moto.data.socrata.com/resources/turg-k5ub.csv
"permalink : ""https://moto.data.socrata.com/d/jfwn-iu5d"",","jfwn-iu5d"",",jfwn-iu5d,https://moto.data.socrata.com/resources/jfwn-iu5d.csv
"permalink : ""https://moto.data.socrata.com/d/criy-sikb"",","criy-sikb"",",criy-sikb,https://moto.data.socrata.com/resources/criy-sikb.csv
"permalink : ""https://moto.data.socrata.com/d/du6n-4fyc"",","du6n-4fyc"",",du6n-4fyc,https://moto.data.socrata.com/resources/du6n-4fyc.csv
"permalink : ""https://moto.data.socrata.com/d/ter5-gmgn"",","ter5-gmgn"",",ter5-gmgn,https://moto.data.socrata.com/resources/ter5-gmgn.csv
"permalink : ""https://moto.data.socrata.com/d/xjga-i98z"",","xjga-i98z"",",xjga-i98z,https://moto.data.socrata.com/resources/xjga-i98z.csv
"permalink : ""https://moto.data.socrata.com/d/dg73-dzvm"",","dg73-dzvm"",",dg73-dzvm,https://moto.data.socrata.com/resources/dg73-dzvm.csv
"permalink : ""https://moto.data.socrata.com/d/w4j8-47pg"",","w4j8-47pg"",",w4j8-47pg,https://moto.data.socrata.com/resources/w4j8-47pg.csv
"permalink : ""https://moto.data.socrata.com/d/5e96-55x5"",","5e96-55x5"",",5e96-55x5,https://moto.data.socrata.com/resources/5e96-55x5.csv
"permalink : ""https://moto.data.socrata.com/d/7eqd-4ng7"",","7eqd-4ng7"",",7eqd-4ng7,https://moto.data.socrata.com/resources/7eqd-4ng7.csv
"permalink : ""https://moto.data.socrata.com/d/5fsp-4scu"",","5fsp-4scu"",",5fsp-4scu,https://moto.data.socrata.com/resources/5fsp-4scu.csv
"permalink : ""https://moto.data.socrata.com/d/daww-n44p"",","daww-n44p"",",daww-n44p,https://moto.data.socrata.com/resources/daww-n44p.csv
"permalink : ""https://moto.data.socrata.com/d/5eu3-nrsw"",","5eu3-nrsw"",",5eu3-nrsw,https://moto.data.socrata.com/resources/5eu3-nrsw.csv
"permalink : ""https://moto.data.socrata.com/d/95vx-m9x8"",","95vx-m9x8"",",95vx-m9x8,https://moto.data.socrata.com/resources/95vx-m9x8.csv
"permalink : ""https://moto.data.socrata.com/d/evz7-c892"",","evz7-c892"",",evz7-c892,https://moto.data.socrata.com/resources/evz7-c892.csv
"permalink : ""https://moto.data.socrata.com/d/75nm-6ye6"",","75nm-6ye6"",",75nm-6ye6,https://moto.data.socrata.com/resources/75nm-6ye6.csv
"permalink : ""https://moto.data.socrata.com/d/ub3s-nu4t"",","ub3s-nu4t"",",ub3s-nu4t,https://moto.data.socrata.com/resources/ub3s-nu4t.csv
"permalink : ""https://moto.data.socrata.com/d/93v7-jepz"",","93v7-jepz"",",93v7-jepz,https://moto.data.socrata.com/resources/93v7-jepz.csv
"permalink : ""https://moto.data.socrata.com/d/vqpy-fgkn"",","vqpy-fgkn"",",vqpy-fgkn,https://moto.data.socrata.com/resources/vqpy-fgkn.csv
"permalink : ""https://moto.data.socrata.com/d/shz2-ig3z"",","shz2-ig3z"",",shz2-ig3z,https://moto.data.socrata.com/resources/shz2-ig3z.csv
"permalink : ""https://moto.data.socrata.com/d/eqwe-xnen"",","eqwe-xnen"",",eqwe-xnen,https://moto.data.socrata.com/resources/eqwe-xnen.csv
"permalink : ""https://moto.data.socrata.com/d/i4jc-nnwq"",","i4jc-nnwq"",",i4jc-nnwq,https://moto.data.socrata.com/resources/i4jc-nnwq.csv
"permalink : ""https://moto.data.socrata.com/d/a597-dyy4"",","a597-dyy4"",",a597-dyy4,https://moto.data.socrata.com/resources/a597-dyy4.csv
"permalink : ""https://moto.data.socrata.com/d/v76p-ut9w"",","v76p-ut9w"",",v76p-ut9w,https://moto.data.socrata.com/resources/v76p-ut9w.csv
"permalink : ""https://moto.data.socrata.com/d/9gts-2xyn"",","9gts-2xyn"",",9gts-2xyn,https://moto.data.socrata.com/resources/9gts-2xyn.csv
"permalink : ""https://moto.data.socrata.com/d/braw-rz5i"",","braw-rz5i"",",braw-rz5i,https://moto.data.socrata.com/resources/braw-rz5i.csv
"permalink : ""https://moto.data.socrata.com/d/sz4k-2wja"",","sz4k-2wja"",",sz4k-2wja,https://moto.data.socrata.com/resources/sz4k-2wja.csv
"permalink : ""https://moto.data.socrata.com/d/ii2r-ey7u"",","ii2r-ey7u"",",ii2r-ey7u,https://moto.data.socrata.com/resources/ii2r-ey7u.csv
"permalink : ""https://moto.data.socrata.com/d/iik4-zz4b"",","iik4-zz4b"",",iik4-zz4b,https://moto.data.socrata.com/resources/iik4-zz4b.csv
"permalink : ""https://moto.data.socrata.com/d/sf3a-evcx"",","sf3a-evcx"",",sf3a-evcx,https://moto.data.socrata.com/resources/sf3a-evcx.csv
"permalink : ""https://moto.data.socrata.com/d/s9ji-4jh6"",","s9ji-4jh6"",",s9ji-4jh6,https://moto.data.socrata.com/resources/s9ji-4jh6.csv
"permalink : ""https://moto.data.socrata.com/d/jfi7-apaf"",","jfi7-apaf"",",jfi7-apaf,https://moto.data.socrata.com/resources/jfi7-apaf.csv
"permalink : ""https://moto.data.socrata.com/d/eshh-ujr9"",","eshh-ujr9"",",eshh-ujr9,https://moto.data.socrata.com/resources/eshh-ujr9.csv
"permalink : ""https://moto.data.socrata.com/d/hexc-j43p"",","hexc-j43p"",",hexc-j43p,https://moto.data.socrata.com/resources/hexc-j43p.csv
"permalink : ""https://moto.data.socrata.com/d/kts8-f2hk"",","kts8-f2hk"",",kts8-f2hk,https://moto.data.socrata.com/resources/kts8-f2hk.csv
"permalink : ""https://moto.data.socrata.com/d/bpgb-25dy"",","bpgb-25dy"",",bpgb-25dy,https://moto.data.socrata.com/resources/bpgb-25dy.csv
"permalink : ""https://moto.data.socrata.com/d/xqci-zc8x"",","xqci-zc8x"",",xqci-zc8x,https://moto.data.socrata.com/resources/xqci-zc8x.csv
"permalink : ""https://moto.data.socrata.com/d/a6t8-qi8u"",","a6t8-qi8u"",",a6t8-qi8u,https://moto.data.socrata.com/resources/a6t8-qi8u.csv
"permalink : ""https://moto.data.socrata.com/d/3gpk-u8yy"",","3gpk-u8yy"",",3gpk-u8yy,https://moto.data.socrata.com/resources/3gpk-u8yy.csv
"permalink : ""https://moto.data.socrata.com/d/qhc8-92ry"",","qhc8-92ry"",",qhc8-92ry,https://moto.data.socrata.com/resources/qhc8-92ry.csv
"permalink : ""https://moto.data.socrata.com/d/i2ac-7qbz"",","i2ac-7qbz"",",i2ac-7qbz,https://moto.data.socrata.com/resources/i2ac-7qbz.csv
"permalink : ""https://moto.data.socrata.com/d/nkhn-fxkg"",","nkhn-fxkg"",",nkhn-fxkg,https://moto.data.socrata.com/resources/nkhn-fxkg.csv
"permalink : ""https://moto.data.socrata.com/d/qj3v-nk96"",","qj3v-nk96"",",qj3v-nk96,https://moto.data.socrata.com/resources/qj3v-nk96.csv
"permalink : ""https://moto.data.socrata.com/d/5947-dwi6"",","5947-dwi6"",",5947-dwi6,https://moto.data.socrata.com/resources/5947-dwi6.csv
"permalink : ""https://moto.data.socrata.com/d/eb8c-wrfi"",","eb8c-wrfi"",",eb8c-wrfi,https://moto.data.socrata.com/resources/eb8c-wrfi.csv
"permalink : ""https://moto.data.socrata.com/d/54zr-v9y3"",","54zr-v9y3"",",54zr-v9y3,https://moto.data.socrata.com/resources/54zr-v9y3.csv
"permalink : ""https://moto.data.socrata.com/d/63mr-f4au"",","63mr-f4au"",",63mr-f4au,https://moto.data.socrata.com/resources/63mr-f4au.csv
"permalink : ""https://moto.data.socrata.com/d/fq8f-gsdd"",","fq8f-gsdd"",",fq8f-gsdd,https://moto.data.socrata.com/resources/fq8f-gsdd.csv
"permalink : ""https://moto.data.socrata.com/d/k56q-mt3c"",","k56q-mt3c"",",k56q-mt3c,https://moto.data.socrata.com/resources/k56q-mt3c.csv
"permalink : ""https://moto.data.socrata.com/d/vh33-t5q4"",","vh33-t5q4"",",vh33-t5q4,https://moto.data.socrata.com/resources/vh33-t5q4.csv
"permalink : ""https://moto.data.socrata.com/d/ehkt-fukk"",","ehkt-fukk"",",ehkt-fukk,https://moto.data.socrata.com/resources/ehkt-fukk.csv
"permalink : ""https://moto.data.socrata.com/d/dcd7-sq3z"",","dcd7-sq3z"",",dcd7-sq3z,https://moto.data.socrata.com/resources/dcd7-sq3z.csv
"permalink : ""https://moto.data.socrata.com/d/i6bg-57ig"",","i6bg-57ig"",",i6bg-57ig,https://moto.data.socrata.com/resources/i6bg-57ig.csv
"permalink : ""https://moto.data.socrata.com/d/3fxc-ji94"",","3fxc-ji94"",",3fxc-ji94,https://moto.data.socrata.com/resources/3fxc-ji94.csv
"permalink : ""https://moto.data.socrata.com/d/cadr-he9e"",","cadr-he9e"",",cadr-he9e,https://moto.data.socrata.com/resources/cadr-he9e.csv
"permalink : ""https://moto.data.socrata.com/d/c4nf-nb7p"",","c4nf-nb7p"",",c4nf-nb7p,https://moto.data.socrata.com/resources/c4nf-nb7p.csv
"permalink : ""https://moto.data.socrata.com/d/268s-g4ug"",","268s-g4ug"",",268s-g4ug,https://moto.data.socrata.com/resources/268s-g4ug.csv
"permalink : ""https://moto.data.socrata.com/d/4k6m-tuew"",","4k6m-tuew"",",4k6m-tuew,https://moto.data.socrata.com/resources/4k6m-tuew.csv
"permalink : ""https://moto.data.socrata.com/d/wcdb-uwd3"",","wcdb-uwd3"",",wcdb-uwd3,https://moto.data.socrata.com/resources/wcdb-uwd3.csv
"permalink : ""https://moto.data.socrata.com/d/ai49-dkmn"",","ai49-dkmn"",",ai49-dkmn,https://moto.data.socrata.com/resources/ai49-dkmn.csv
"permalink : ""https://moto.data.socrata.com/d/eexh-n73i"",","eexh-n73i"",",eexh-n73i,https://moto.data.socrata.com/resources/eexh-n73i.csv
"permalink : ""https://moto.data.socrata.com/d/wkxj-c4j2"",","wkxj-c4j2"",",wkxj-c4j2,https://moto.data.socrata.com/resources/wkxj-c4j2.csv
